anchor,path,rounds,final_x,accept_round,x_series
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\5.1\history16_51_00.json,16,4,7,"[-7, -9, -7, -6, -5, -3, -4, -2, 0, 2, 0, 1, 2, 1, 2, 4]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\6.1\history16_55_57.json,16,5,4,"[-7, -8, -6, -4, -2, 0, 2, 4, 6, 4, 6, 4, 2, 4, 3, 5]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\7.1\history17_01_41.json,17,-4,,"[-7, -8, -6, -8, -9, -7, -5, -7, -8, -9, -8, -6, -8, -9, -7, -5, -4]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\8.1\history17_07_14.json,16,3,8,"[-7, -9, -7, -8, -6, -7, -5, -3, -1, -2, -1, 1, -1, 0, 1, 3]"
poly_x-7,output_mix_all_diff\polynomial_game\poly_x-7\9.1\history17_12_41.json,16,4,3,"[-7, -5, -3, -1, -2, -4, -2, 0, -1, 1, 2, 4, 2, 3, 2, 4]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\1.1\history17_48_26.json,16,4,0,"[0, 1, 3, 1, 0, 1, 3, 4, 2, 2, 3, 5, 7, 5, 3, 4]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\10.1\history18_36_06.json,16,4,0,"[0, 2, 4, 5, 7, 8, 6, 5, 4, 6, 7, 5, 6, 4, 6, 4]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\11.1\history18_40_54.json,16,3,0,"[0, 2, 4, 4, 2, 2, 3, 5, 3, 2, 3, 5, 4, 6, 4, 3]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\12.1\history18_46_20.json,16,2,0,"[0, 2, 3, 2, 4, 5, 4, 2, 4, 2, 2, 4, 6, 6, 4, 2]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\13.1\history18_52_04.json,16,2,0,"[0, -1, -3, -1, 0, 1, 0, 2, 3, 2, 1, 3, 4, 2, 4, 2]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\14.1\history18_56_51.json,16,5,0,"[0, 2, 4, 2, 2, 1, 3, 4, 5, 4, 6, 4, 2, 2, 3, 5]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\15.1\history19_01_44.json,16,-2,0,"[0, -1, -3, -2, -1, -2, -4, -2, -3, -1, -3, -2, -4, -2, -3, -2]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\2.1\history17_53_27.json,16,4,0,"[0, -1, 1, 2, 2, 4, 5, 3, 2, 2, 4, 5, 6, 8, 6, 4]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\3.1\history17_59_04.json,16,4,0,"[0, 2, 0, 1, 2, 2, 1, 2, 2, 2, 4, 3, 3, 4, 2, 4]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\4.1\history18_04_31.json,16,3,0,"[0, -1, -3, -2, 0, -1, 0, 2, 4, 2, 3, 2, 4, 3, 2, 3]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\5.1\history18_09_43.json,16,0,0,"[0, -2, -3, -1, -3, -4, -2, 0, 1, -1, 1, -1, 0, -1, -2, 0]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\6.1\history18_14_44.json,16,3,0,"[0, 2, 2, 3, 3, 3, 5, 6, 4, 5, 3, 5, 7, 5, 4, 3]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\7.1\history18_20_59.json,16,2,0,"[0, 2, 4, 2, 4, 3, 2, 3, 2, 4, 2, 3, 5, 3, 4, 2]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\8.1\history18_25_58.json,16,3,0,"[0, 2, 3, 1, 2, 4, 5, 3, 2, 4, 5, 3, 5, 3, 2, 3]"
poly_x0,output_mix_all_diff\polynomial_game\poly_x0\9.1\history18_30_55.json,16,3,0,"[0, 1, 2, 1, 2, 3, 2, 4, 3, 4, 5, 3, 2, 4, 5, 3]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\1.1\history19_06_20.json,16,2,3,"[7, 5, 3, 2, 2, 3, 2, 4, 2, 3, 5, 3, 5, 4, 3, 2]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\10.1\history19_51_19.json,17,6,,"[7, 9, 7, 8, 9, 7, 5, 7, 6, 7, 5, 7, 5, 7, 5, 6, 6]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\11.1\history19_56_35.json,16,4,4,"[7, 5, 6, 4, 2, 2, 4, 5, 6, 8, 6, 4, 5, 4, 2, 4]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\12.1\history20_02_08.json,17,6,,"[7, 5, 6, 8, 9, 7, 9, 7, 8, 6, 8, 6, 7, 9, 7, 5, 6]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\13.1\history20_07_30.json,17,6,,"[7, 9, 7, 5, 7, 9, 7, 6, 7, 9, 7, 5, 6, 4, 6, 5, 6]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\14.1\history20_13_01.json,16,3,4,"[7, 8, 6, 4, 2, 4, 3, 4, 6, 4, 2, 3, 2, 4, 2, 3]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\15.1\history20_18_44.json,16,5,4,"[7, 5, 3, 4, 2, 0, 1, 2, 3, 2, 4, 2, 1, 2, 3, 5]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\2.1\history19_11_20.json,16,3,5,"[7, 5, 6, 4, 3, 2, 0, 1, 2, 4, 2, 3, 4, 3, 5, 3]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\3.1\history19_16_33.json,16,5,12,"[7, 5, 3, 4, 5, 3, 3, 5, 7, 8, 6, 4, 2, 2, 3, 5]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\4.1\history19_21_19.json,16,-1,8,"[7, 9, 10, 8, 6, 7, 5, 3, 2, 0, -2, 0, 1, 2, 0, -1]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\5.1\history19_26_09.json,16,3,5,"[7, 9, 7, 5, 3, 1, 2, 3, 5, 6, 4, 3, 2, 3, 5, 3]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\6.1\history19_30_36.json,16,5,5,"[7, 5, 7, 5, 3, 2, 4, 5, 7, 5, 5, 3, 2, 1, 3, 5]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\7.1\history19_35_21.json,16,3,10,"[7, 5, 3, 3, 5, 3, 3, 4, 5, 4, 2, 4, 2, 4, 2, 3]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\8.1\history19_40_26.json,16,1,4,"[7, 5, 6, 4, 2, 3, 2, 4, 2, 2, 2, 3, 4, 3, 1, 1]"
poly_x7,output_mix_all_diff\polynomial_game\poly_x7\9.1\history19_45_44.json,17,6,,"[7, 5, 6, 4, 3, 5, 6, 4, 6, 4, 3, 5, 7, 5, 4, 5, 6]"
