path,trajectory_len,anchor_label,anchor_severity,final_label,final_severity,anchor_equals_final,time_to_agreement,post_agreement_flips,agree_on_anchor
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c5_csrf_guard_20260319_fix\history12_34_24.json,16,CSRF,High,CSRF,High,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c6_csrf_guard_20260319_fix\history12_41_03.json,13,CSRF,High,CSRF,High,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\csrf\reflected_input_password_change_guard_001\c7_csrf_guard_20260319_fix\history12_45_37.json,16,CSRF,High,CSRF,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c1_medium_cookie_20260310_143657\history14_36_59.json,1,WeakSessionIDs,Low,WeakSessionIDs,Low,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c2_medium_cookie_fixcit_20260310_153016\history15_30_22.json,1,WeakSessionIDs,Medium,WeakSessionIDs,Medium,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c3_medium_cookie_20260310_143657\history14_40_06.json,16,WeakSessionIDs,Medium,WeakSessionIDs,Low,False,0,1,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c4_medium_cookie_fixcit_20260310_153016\history15_31_10.json,16,WeakSessionIDs,High,WeakSessionIDs,High,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c5_medium_cookie_fixcit_20260310_153016\history15_38_59.json,16,WeakSessionIDs,Medium,WeakSessionIDs,Medium,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c6_medium_cookie_20260310_143657\history14_51_38.json,13,WeakSessionIDs,Low,WeakSessionIDs,Low,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\medium_cookie_timestamps_001\c7_medium_cookie_fixcit_20260310_153016\history15_43_49.json,16,WeakSessionIDs,High,WeakSessionIDs,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c1_hard_cookie_20260310_164427\history16_44_29.json,1,NoFinding,Info,NoFinding,Info,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c2_hard_cookie_20260310_164427\history16_44_49.json,1,WeakSessionIDs,High,WeakSessionIDs,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c3_hard_cookie_20260310_164427\history16_45_25.json,16,,,Other,Info,False,4,0,
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c4_hard_cookie_20260310_164427\history16_48_36.json,16,WeakSessionIDs,High,WeakSessionIDs,High,True,3,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c5_hard_cookie_20260310_164427\history16_56_06.json,16,,,Other,Low,False,6,0,
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c6_hard_cookie_20260310_164427\history17_02_04.json,13,Other,Low,NoFinding,Info,False,3,0,False
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\hard_cookie_md5_002\c7_hard_cookie_20260310_164427\history17_05_31.json,16,WeakSessionIDs,High,WeakSessionIDs,Medium,False,7,0,False
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c1_cookie_attr_20260311_160805\history17_32_04.json,1,Other,Medium,Other,Medium,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c2_cookie_attr_20260311_160805\history17_26_30.json,1,Other,Medium,Other,Medium,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c3_cookie_attr_20260311_160805\history16_12_00.json,16,,,Other,Medium,False,5,0,
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c4_cookie_attr_20260311_160805\history16_19_41.json,16,,,WeakSessionIDs,Medium,False,6,0,
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c5_cookie_attr_20260311_160805\history16_28_52.json,16,Other,Low,Other,Info,False,7,0,False
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c6_cookie_attr_20260311_160805\history16_37_34.json,13,WeakSessionIDs,High,NoFinding,Info,False,4,0,False
cyber_negotiation_v1\games_descriptions\cyber_game\output\cookies\cookie_security_attribute_observation_001\c7_cookie_attr_20260311_160805\history16_44_20.json,16,,,NoFinding,Info,False,8,0,
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c1_command_injection_v2\history17_45_53.json,1,CommandInjection,High,CommandInjection,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c2_command_injection_v2\history17_47_50.json,1,CommandInjection,High,CommandInjection,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c3_command_injection_v2\history17_40_54.json,16,CommandInjection,High,CommandInjection,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c4_command_injection_v2\history17_48_25.json,16,CommandInjection,High,CommandInjection,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c5_command_injection_v2\history18_02_59.json,16,CommandInjection,High,CommandInjection,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c6_command_injection_v2\history18_06_35.json,13,CommandInjection,High,CommandInjection,High,True,0,0,True
cyber_negotiation_v1\games_descriptions\cyber_game\output\command_injection\c7_command_injection_v2\history18_09_22.json,16,CommandInjection,High,CommandInjection,High,True,0,0,True
